event_type,template,arg1,arg2,arg3,arg4,arg5
artifactexistence.artifactfailure.mechanicalfailure,<arg1> mechanical artifact failed due to <arg2> instrument at <arg3> place,evt152arg01mechanicalartifact ,evt152arg02instrument ,evt152arg03place ,,
artifactexistence.damagedestroy.unspecified,<arg1> damaged or destroyed <arg2> using <arg3> instrument in <arg4> place,evt001arg01damagerdestroyer,evt001arg02artifact,evt001arg03instrument,evt001arg04place,
artifactexistence.damagedestroy.damage,<arg1> damaged <arg2> using <arg3> instrument in <arg4> place,evt002arg01damager,evt002arg02artifact,evt002arg03instrument,evt002arg04place,
artifactexistence.damagedestroy.destroy,<arg1> destroyed <arg2> using <arg3> instrument in <arg4> place,evt003arg01destroyer,evt003arg02artifact,evt003arg03instrument,evt003arg04place,
artifactexistence.shortage.shortage,<arg1> experienced a shortage of <arg2> supply at <arg3> place,evt149arg01experiencer ,evt149arg02supply ,evt149arg03place ,,
conflict.attack.unspecified,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt004arg01attacker,evt004arg02target,evt004arg03instrument,evt004arg04place,
conflict.attack.airstrikemissilestrike,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt005arg01attacker,evt005arg02target,evt005arg03instrument,evt005arg04place,
conflict.attack.biologicalchemicalpoisonattack,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt006arg01attacker,evt006arg02target,evt006arg03instrument,evt006arg04place,
conflict.attack.bombing,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt007arg01attacker,evt007arg02target,evt007arg03instrument,evt007arg04place,
conflict.attack.firearmattack,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt008arg01attacker,evt008arg02target,evt008arg03instrument,evt008arg04place,
conflict.attack.hanging,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt009arg01attacker,evt009arg02target,evt009arg03instrument,evt009arg04place,
conflict.attack.invade,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt010arg01attacker,evt010arg02target,evt010arg03instrument,evt010arg04place,
conflict.attack.selfdirectedbattle,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt011arg01attacker,evt011arg02target,evt011arg03instrument,evt011arg04place,
conflict.attack.setfire,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt012arg01attacker,evt012arg02target,evt012arg03instrument,evt012arg04place,
conflict.attack.stabbing,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt013arg01attacker,evt013arg02target,evt013arg03instrument,evt013arg04place,
conflict.attack.stealrobhijack,"<arg1> attacked <arg2> using <arg3> at <arg4> place, in order to take <arg5>",evt014arg01attacker,evt014arg02target,evt014arg03instrument,evt014arg04place,evt014arg05artifact
conflict.attack.strangling,<arg1> attacked <arg2> using <arg3> at <arg4> place,evt015arg01attacker,evt015arg02target,evt015arg03instrument,evt015arg04place,
conflict.coup.coup,<arg1> was deposed by <arg2> at <arg3> place,evt151arg01deposedentity ,evt151arg02deposingentity ,evt151arg03place ,,
conflict.demonstrate.unspecified,<arg1> was in a demonstration at <arg2> place,evt016arg01demonstrator,evt016arg02place,,,
conflict.demonstrate.marchprotestpoliticalgathering,<arg1> was in a demonstration or protest at <arg2> place,evt017arg01demonstrator,evt017arg02place,,,
conflict.yield.unspecified,<arg1> yielded to <arg2> at <arg3> place,evt018arg01yielder,evt018arg02recipient,evt018arg03place,,
conflict.yield.retreat,<arg1> retreated from <arg2> place to <arg3> place,evt019arg01retreater,evt019arg02origin,evt019arg03destination,,
conflict.yield.surrender,<arg1> surrendered to <arg2> at <arg3> place,evt020arg01surrenderer,evt020arg02recipient,evt020arg03place,,
contact.collaborate.unspecified,<arg1> communicated with <arg2> at <arg3> place,evt021arg01participant,evt021arg02participant,evt021arg03place,,
contact.collaborate.correspondence,<arg1> communicated remotely with <arg2> at <arg3> place,evt022arg01participant,evt022arg02participant,evt022arg03place,,
contact.collaborate.meet,<arg1> met face-to-face with <arg2> at <arg3> place,evt023arg01participant,evt023arg02participant,evt023arg03place,,
contact.commandorder.unspecified,<arg1> communicated with <arg2> about <arg4> topic at <arg3> place,evt024arg01communicator,evt024arg02recipient,evt024arg03place,evt024arg04topic,
contact.commandorder.broadcast,<arg1> communicated to <arg2> about <arg4> topic at <arg3> place (one-way communication),evt025arg01communicator,evt025arg02recipient,evt025arg03place,evt025arg04topic,
contact.commandorder.correspondence,<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place,evt026arg01communicator,evt026arg02recipient,evt026arg03place,evt026arg04topic,
contact.commandorder.meet,<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place,evt027arg01communicator,evt027arg02recipient,evt027arg03place,evt027arg04topic,
contact.commitmentpromiseexpressintent.unspecified,<arg1> communicated with <arg2> about <arg4> topic at <arg3> place,evt028arg01communicator,evt028arg02recipient,evt028arg03place,evt028arg04topic,
contact.commitmentpromiseexpressintent.broadcast,<arg1> communicated to <arg2> about <arg4> topic at <arg3> place (one-way communication),evt029arg01communicator,evt029arg02recipient,evt029arg03place,evt029arg04topic,
contact.commitmentpromiseexpressintent.correspondence,<arg1> communicated remotely with <arg2> about <arg4> topic at <arg3> place,evt030arg01communicator,evt030arg02recipient,evt030arg03place,evt030arg04topic,
contact.commitmentpromiseexpressintent.meet,<arg1> met face-to-face with <arg2> about <arg4> topic at <arg3> place,evt031arg01communicator,evt031arg02recipient,evt031arg03place,evt031arg04topic,
contact.discussion.unspecified,<arg1> communicated with <arg2> at <arg3> place,evt032arg01participant,evt032arg02participant,evt032arg03place,,
